team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
United States,Netherlands,Men,Pool 1,3,3,"[25, 25, 25]",42,8,5,20,75,40,38,65,15,46
Poland,Italy,Men,Pool 2,1,4,"[25, 23, 20, 20]",47,6,4,31,88,51,73,95,38,96
Italy,Poland,Men,Pool 2,3,4,"[21, 25, 25, 25]",48,5,5,38,96,58,66,94,31,88
Brazil,Slovenia,Men,Pool 1,3,4,"[25, 21, 25, 25]",47,11,8,30,96,48,60,83,18,82
Slovenia,Brazil,Men,Pool 1,1,4,"[21, 25, 20, 16]",52,6,6,18,82,48,81,102,30,96
Serbia,Argentina,Men,Pool 2,3,5,"[25, 25, 17, 12, 15]",47,11,6,30,94,54,72,94,17,90
Argentina,Serbia,Men,Pool 2,2,5,"[16, 18, 25, 25, 6]",55,10,8,17,90,55,85,109,30,94
Netherlands,Iran,Men,Pool 1,3,3,"[26, 25, 25]",48,8,2,18,76,40,57,77,22,66
Iran,Netherlands,Men,Pool 1,0,3,"[24, 21, 21]",36,1,7,22,66,35,58,75,18,76
Bulgaria,Germany,Men,Pool 2,2,5,"[20, 25, 16, 25, 10]",58,10,2,26,96,47,91,107,28,107
Germany,Bulgaria,Men,Pool 2,3,5,"[25, 22, 25, 20, 15]",61,13,5,28,107,63,78,111,26,96
Japan,United States,Men,Pool 1,2,5,"[25, 15, 21, 28, 9]",60,3,1,34,98,85,83,140,30,108
United States,Japan,Men,Pool 1,3,5,"[17, 25, 25, 26, 15]",64,10,4,30,108,72,82,128,34,98
France,Canada,Men,Pool 2,3,3,"[25, 25, 25]",36,8,6,25,75,46,48,73,20,60
Canada,France,Men,Pool 2,0,3,"[16, 23, 21]",28,7,5,20,60,41,57,69,25,75
Australia,Slovenia,Men,Pool 1,0,3,"[22, 20, 21]",36,3,2,22,63,41,58,78,22,75
Slovenia,Australia,Men,Pool 1,3,3,"[25, 25, 25]",43,7,3,22,75,34,51,66,22,63
Germany,Serbia,Men,Pool 2,3,5,"[27, 25, 18, 28, 18]",60,16,9,31,116,81,102,141,29,119
Serbia,Germany,Men,Pool 2,2,5,"[25, 27, 25, 26, 16]",71,9,10,29,119,80,96,138,31,116
United States,Brazil,Men,Pool 1,3,4,"[21, 27, 25, 25]",55,8,5,30,98,58,69,107,23,90
Brazil,United States,Men,Pool 1,1,4,"[25, 25, 20, 20]",56,8,3,23,90,50,81,104,30,98
Bulgaria,Poland,Men,Pool 2,0,3,"[19, 19, 23]",36,8,2,15,61,43,64,84,21,75
Poland,Bulgaria,Men,Pool 2,3,3,"[25, 25, 25]",44,4,6,21,75,53,49,82,15,61
Slovenia,China,Men,Pool 1,3,4,"[25, 25, 18, 27]",56,9,2,28,95,51,75,107,26,85
China,Slovenia,Men,Pool 1,1,4,"[15, 20, 25, 25]",47,9,3,26,85,36,79,97,28,95
Canada,Italy,Men,Pool 2,0,3,"[21, 18, 19]",27,9,0,22,58,30,61,82,18,75
Italy,Canada,Men,Pool 2,3,3,"[25, 25, 25]",47,7,3,18,75,34,52,77,22,58
Iran,Australia,Men,Pool 1,3,4,"[25, 25, 18, 25]",48,12,5,28,93,51,62,92,25,76
Australia,Iran,Men,Pool 1,1,4,"[14, 22, 25, 15]",40,9,2,25,76,48,76,102,28,93
Brazil,China,Men,Pool 1,0,3,"[23, 29, 23]",47,6,4,18,75,38,68,87,25,81
China,Brazil,Men,Pool 1,3,3,"[25, 31, 25]",43,9,4,25,81,28,64,77,18,75
France,Poland,Men,Pool 2,1,4,"[25, 22, 21, 22]",50,6,9,25,90,61,81,103,32,96
Poland,France,Men,Pool 2,3,4,"[21, 25, 25, 25]",47,10,7,32,96,63,70,96,25,90
Iran,Japan,Men,Pool 1,0,3,"[20, 14, 19]",27,3,4,19,53,32,62,72,20,75
Japan,Iran,Men,Pool 1,3,3,"[25, 25, 25]",39,6,10,20,75,41,41,69,19,53
Argentina,Italy,Men,Pool 2,1,4,"[20, 21, 25, 28]",51,9,2,32,94,81,73,113,28,96
Italy,Argentina,Men,Pool 2,3,4,"[25, 25, 16, 30]",48,13,7,28,96,73,74,112,32,94
Netherlands,Australia,Men,Pool 1,3,3,"[25, 25, 25]",37,6,9,23,75,30,45,66,19,58
Australia,Netherlands,Men,Pool 1,0,3,"[20, 15, 23]",34,4,1,19,58,30,57,62,23,75
Bulgaria,Canada,Men,Pool 2,2,5,"[18, 18, 26, 25, 11]",52,9,7,30,98,53,89,112,23,110
Canada,Bulgaria,Men,Pool 2,3,5,"[25, 25, 24, 21, 15]",66,14,7,23,110,60,85,116,30,98
Slovenia,Netherlands,Men,Pool 3,0,3,"[17, 21, 24]",35,8,2,17,62,44,64,81,24,76
Netherlands,Slovenia,Men,Pool 3,3,3,"[25, 25, 26]",38,5,9,24,76,44,47,74,17,62
Argentina,Japan,Men,Pool 3,1,4,"[25, 18, 25, 16]",49,5,1,29,84,46,73,89,23,94
Japan,Argentina,Men,Pool 3,3,4,"[27, 25, 17, 25]",56,6,9,23,94,61,67,106,29,84
Australia,Canada,Men,Pool 4,1,4,"[25, 26, 19, 22]",54,7,8,23,92,44,78,108,29,96
